OriginX,OriginY,OriginZ,Width,Depth,Height,RotZ


235.25985717773438,-112.6921157836914,16.000682830810547,135.0,110.0,36.0,0.7853981852531433
281.0594482421875,-209.03712463378906,12.000564575195312,72.0,40.0,28.0,0.7853981852531433
156.41455078125,184.69491577148438,5.98443603515625,115.99999237060547,110.0,16.0,0.7853981852531433
250.9051513671875,84.22091674804688,5.924618244171143,115.99999237060547,110.0,16.0,0.7853981852531433
248.3958740234375,276.39349365234375,6.892176628112793,115.99999237060547,110.0,16.0,0.7853981852531433
-39.568214416503906,175.00518798828125,13.000564575195312,130.0,115.99999237060547,30.0,0.7853981852531433
-175.63543701171875,37.656654357910156,14.000564575195312,136.00001525878906,113.00000762939453,32.0,0.7853981852531433

48.635833740234375,-77.10682678222656,24.28046989440918,67.3083267211914,300.41912841796875,49.778717041015625,2.3504691123962402
-13.381779670715332,-20.94619369506836,24.28046989440918,67.3083267211914,312.9898681640625,49.778717041015625,2.3504691123962402

25.297847747802734,-41.36201858520508,47.34923553466797,29.14229393005371,17.138887405395508,2.9118082523345947,0.7853981852531433
25.303468704223633,-41.56039047241211,13.165139198303223,29.14229393005371,17.138887405395508,29.177717208862305,0.7853981852531433
95.53382110595703,27.65209197998047,29.035884857177734,73.10572052001953,17.138887405395508,38.64849090576172,0.7853981852531433

105.64149475097656,-236.10475158691406,10.000564575195312,100.0,100.0,25.0,0.7853981852531433
-212.5318603515625,131.87828063964844,13.000564575195312,72.0,40.0,28.0,0.7853981852531433
59.83684539794922,246.5794677734375,10.000564575195312,72.0,70.0,28.0,0.7853981852531433
-134.9271240234375,241.8923797607422,10.122754096984863,72.0,70.0,28.0,0.7853981852531433
